"Emissions by Economic Sector, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Transportation,1526.6227944048,1480.4890438854,1540.0345042856,1577.0348005833002,1631.9767578801998,1667.1465550074001,1723.3705430374,1749.9614617264,1792.4122105339,1863.4009398130002,1913.6568392421,1885.5522099007999,1926.0900394406,1933.4337757008,1965.9629017175,1975.5880804804,1975.9168458537001,1974.403170519,1870.8323627165,1796.1987985604,1802.1548085488998,1769.0632585449,1749.4247987234,1751.9108263792,1785.9202212547998,1794.0544559818,1829.9687910981,1847.3291967333,1878.1990371653003,1875.7305884757
Electricity generation,1875.7054233096003,1871.7282105686998,1886.7151012968,1962.4709127767999,1987.2740973230998,2003.9991842953002,2077.0648923612,2143.2256385345,2229.7408345503,2243.7919924648,2349.5107246668,2310.0083090556004,2325.8608115240995,2357.1725396132997,2390.2102279286005,2456.2583849621,2399.5837723769,2466.2646847131,2412.4609807228,2196.2701448236,2311.9288751023,2209.2979281371,2071.2056446278,2089.9773239609,2090.1244983636,1950.021955613,1857.6125662091001,1778.8516827513,1798.0445170047,1648.1114699999
Industry,1640.7087344834,1613.5610941794998,1649.0604202502,1620.199787072,1645.6088615232004,1662.5247960676002,1691.9031564677998,1691.2728654395999,1661.7999883958,1609.2842513055,1598.823878994,1549.2115548721997,1532.1141738088997,1510.7965374553,1559.4891173874005,1518.8184773418,1550.1578238272,1541.1725402360005,1481.4658090342998,1326.8116064931003,1418.1360828357,1421.7673090504998,1415.4429974615998,1466.4936498665,1450.9829438683003,1441.612573804,1402.2240526753997,1423.4147018694996,1483.2896772821005,1504.8312225655
Agriculture,600.179282484,590.8481000198,591.6801343295,619.7617534000999,606.987183006,619.2178543784,626.1810366133999,614.7203833165,621.8154927571001,612.7402891197,598.0511144933,618.9274568154,621.9064121116,622.3574814669,635.0240127827999,629.7041805770999,628.9421292706999,646.1363220430001,634.2710311644,636.1835703889999,644.5189225211999,625.8676715006001,609.514747616,647.8662222175001,657.5386253899,658.4755553302,645.7793726558,646.5564844697001,661.9705660888001,669.4596937832
Commercial,429.20107747640003,436.45719787580003,432.12500334359993,425.5843602401,428.86778433210003,427.99469069700007,435.6505406117,428.1516706744,402.95741723360004,399.42978233419996,413.7383519769999,402.74375676050005,404.31040737579997,420.58694000950004,418.4504265832,407.9424499891,394.49288040209996,408.4803502798,415.79890055299995,419.56251801779996,422.0622980834,417.8506792157,398.9089068776,422.2573981247,432.62185647750005,445.4113754126,430.1326151119,431.876682619,447.33739338789997,455.33993007
Residential,345.07078921469997,354.6897497246,361.2220247635,372.6124987527,363.2601466091,367.5235211033,399.4548027165,380.8286588717,346.87325361610004,366.6844584258,387.99253857429994,378.0768838656,375.28666892650006,393.72894339780004,381.85243496939995,371.0155286979,334.309399955,355.2548552202,363.9069816788,354.5451474538,355.53972822139997,349.0894973659,306.93895881189997,357.7358648811,378.2979795675,351.502781539,327.8409613175,329.90886980370004,377.2510347607,379.5137296094
U.S. territories,25.1625250002,25.8477386871,25.5066480783,26.6857766724,27.8479987284,27.453643117000002,27.5404043479,28.347361364199998,27.6700697155,30.067315417699998,51.843044955399996,58.4363422626,58.7333755685,63.2869627647,64.48198646029999,63.703928575400006,61.059995843399996,57.904101914,45.912914227,42.4282855691,36.7656272412,34.4660767729,34.471711626200005,28.427824365699998,29.470584085600002,30.033367223000003,26.7794800224,25.3537125488,25.357175085199998,25.3585449628
Total,6442.650626373101,6373.6211349408995,6486.343836347499,6604.3498894974,6691.8228294021,6775.860244666001,6981.1653761559,7036.5080399273,7083.2692668023,7125.3990288807,7313.616492902899,7202.9565135327,7244.301888755999,7301.363180408299,7415.4711078292,7423.0310306238,7344.462847529001,7449.616024925102,7224.6489800968,6772.000071306801,6991.106342554099,6827.402420587599,6585.9077657445005,6764.669109795599,6824.9567090072005,6671.1120649036,6520.3378390902,6483.2913307953,6671.449400774702,6558.3451794665
